UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
P01911	2B1F_HUMAN	HLA-DRB1	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P50995	ANX11_HUMAN	ANXA11	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P05026	AT1B1_HUMAN	ATP1B1	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P62258	1433E_HUMAN	YWHAE	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P11836	CD20_HUMAN	MS4A1	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P43357	MAGA3_HUMAN	MAGEA3	0	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	Q8TCT1	PHOP1_HUMAN	PHOSPHO1	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	Q8NC67	NETO2_HUMAN	NETO2	1	1	1	0	1
P04233	HG2A_HUMAN	CD74	P0DMV8	HS71A_HUMAN	HSPA1A	1	1	1	0	1
P04233	HG2A_HUMAN	CD74	P62258	1433E_HUMAN	YWHAE	2	2	1	0	2
P04233	HG2A_HUMAN	CD74	P04233	HG2A_HUMAN	CD74	1	2	2	0	2
P04233	HG2A_HUMAN	CD74	P01911	2B1F_HUMAN	HLA-DRB1	0	1	1	7	1
P05026	AT1B1_HUMAN	ATP1B1	Q8IZA0	K319L_HUMAN	KIAA0319L	1	1	1	0	1
