UniProtName_A	UniProtName_B
LEG1_HUMAN	ANXA2_HUMAN
LEG1_HUMAN	K319L_HUMAN
LEG1_HUMAN	VPP2_HUMAN
LEG1_HUMAN	VPP1_HUMAN
LEG1_HUMAN	LAMP2_HUMAN
ROA1_HUMAN	TNPO1_HUMAN
ROA1_HUMAN	HNRH1_HUMAN
ROA1_HUMAN	HNRPD_HUMAN
ROA1_HUMAN	ROA1_HUMAN
ROA1_HUMAN	ROA2_HUMAN
ROA1_HUMAN	DDX5_HUMAN
ROA1_HUMAN	HS90B_HUMAN
ROA1_HUMAN	LPPRC_HUMAN
ROA1_HUMAN	RSSA_HUMAN
ROA1_HUMAN	ANXA1_HUMAN
ROA1_HUMAN	ANXA2_HUMAN
ROA1_HUMAN	ATPA_HUMAN
ROA1_HUMAN	CATD_HUMAN
ROA1_HUMAN	DDX3X_HUMAN
ROA1_HUMAN	EI2BG_HUMAN
ROA1_HUMAN	IF4A2_HUMAN
ROA1_HUMAN	ENOA_HUMAN
ROA1_HUMAN	G3P_HUMAN
ROA1_HUMAN	HSP7C_HUMAN
ROA1_HUMAN	CH60_HUMAN
ROA1_HUMAN	ML12A_HUMAN
ROA1_HUMAN	NUCL_HUMAN
CD28_HUMAN	P85A_HUMAN
CD28_HUMAN	PTPRC_HUMAN
CD28_HUMAN	LCK_HUMAN
CD28_HUMAN	LEG1_HUMAN
CH60_HUMAN	LPPRC_HUMAN
CH60_HUMAN	CH60_HUMAN
CH60_HUMAN	LCK_HUMAN
CH60_HUMAN	HSP7C_HUMAN
CH60_HUMAN	ROA2_HUMAN
CH60_HUMAN	G3P_HUMAN
CH60_HUMAN	EF1B_HUMAN
CH60_HUMAN	HS90B_HUMAN
CH60_HUMAN	VDAC1_HUMAN
CH60_HUMAN	HS90A_HUMAN
HSP7C_HUMAN	P85A_HUMAN
HSP7C_HUMAN	CHIP_HUMAN
HSP7C_HUMAN	HSP7C_HUMAN
HSP7C_HUMAN	LAMP2_HUMAN
HSP7C_HUMAN	TERA_HUMAN
HSP7C_HUMAN	G3P_HUMAN
HSP7C_HUMAN	RL7_HUMAN
HSP7C_HUMAN	TBB5_HUMAN
HSP7C_HUMAN	ATPA_HUMAN
HSP7C_HUMAN	RS12_HUMAN
HSP7C_HUMAN	SYFB_HUMAN
HSP7C_HUMAN	CXCR4_HUMAN
HSP7C_HUMAN	VDAC1_HUMAN
LAMP2_HUMAN	NPM_HUMAN
LAMP2_HUMAN	TBB5_HUMAN
LAMP2_HUMAN	LAMP2_HUMAN
LYAM1_HUMAN	CD4_HUMAN
CD44_HUMAN	DHRS2_HUMAN
CD44_HUMAN	LEG1_HUMAN
CD44_HUMAN	LCK_HUMAN
CD44_HUMAN	PTPRC_HUMAN
CD44_HUMAN	CD44_HUMAN
CD44_HUMAN	VDAC3_HUMAN
TMM11_HUMAN	CH60_HUMAN
DDX5_HUMAN	DDX5_HUMAN
DDX5_HUMAN	HNRH1_HUMAN
RL7_HUMAN	RSSA_HUMAN
RL7_HUMAN	RLA0_HUMAN
RL7_HUMAN	RS19_HUMAN
RL7_HUMAN	RS12_HUMAN
RL7_HUMAN	EIF3C_HUMAN
RL7_HUMAN	RLA1_HUMAN
RL7_HUMAN	RL7_HUMAN
ML12A_HUMAN	RL18_HUMAN
ML12A_HUMAN	PHB_HUMAN
ML12A_HUMAN	VDAC2_HUMAN
ML12A_HUMAN	VDAC3_HUMAN
NUCL_HUMAN	NUCL_HUMAN
NUCL_HUMAN	RL7_HUMAN
NUCL_HUMAN	RL18_HUMAN
NUCL_HUMAN	RS19_HUMAN
NUCL_HUMAN	CD81_HUMAN
NUCL_HUMAN	P85A_HUMAN
